record_id,vehicle_model,manufacturing_year,mileage_km,component,feedback,service_center,date_reported,language_hint,domain
C00149,EQS 580,2020,37146,Apple CarPlay,Apple CarPlay disconnects every. single. time. I get on the highway. WHY does this keep happening,Mercedes-Benz Stuttgart,2025-03-07,en,display_infotainment
C00150,GLE 350d,2026,1365,DPF filter,"Klimatyzacja dmucha zimnym z jednej strony, gorącym z drugiej. To jest jakiś żart??",Auto Wimar Warsaw,2025-09-15,pl,powertrain
C00151,C 300,2025,11624,backup camera,Honestly?? Bought my C 300 last year and the MBUX screen is already glitching. Disappointed doesn't even cover it.,Mercedes-Benz Poznań,2025-12-29,en,display_infotainment
C00152,C 300,2025,28333,engine,My wife is afraid to ride with me anymore. The engine misfires randomly and the check engine light has been on since week 2.,Mercedes-Benz of Mayfair London,2025-10-16,en,powertrain
C00153,E 350,2020,68737,wireless charger,La calefacción del asiento solo funciona el lunes (broma). En realidad funciona aleatoriamente.,Lookers Mercedes Birmingham,2025-02-10,es,display_infotainment
C00154,CLA 200,2020,101350,navigation system,Il filtro dell'aria puzza di muffa anche dopo la sostituzione. Ma scherziamo?,Mercedes-Benz Poznań,2025-01-04,it,display_infotainment
C00155,EQC 400,2023,57022,Hey Mercedes assistant,Hey Mercedes Türkçe anlamıyor zaten ama İngilizce de anlamıyor. Komik.,Mercedes Roma EUR,2024-12-19,tr,display_infotainment
C00156,E 350,2023,52663,Apple CarPlay,"Apple CarPlay her 5 dakikada bağlantıyı kesiyor, çıldıracağım resmen!",Daimler München Mitte,2026-04-21,tr,display_infotainment
C00157,CLA 200,2023,30845,Burmester audio,"Cabin smells like burning plastic on cold starts. Three trips to dealer, three 'no fault found'. Yeah okay.",Mercedes-Benz Köln Rhein,2025-09-11,en,display_infotainment
C00158,CLA 200,2025,7427,Burmester audio,Ich liebe meinen Benz aber das ist langsam echt eine Frechheit. Sitzheizung geht alle 2 Wochen kaputt.,Mercedes Roma EUR,2025-01-24,de,display_infotainment
C00159,S 500,2023,56008,cabin filter,El asistente Hey Mercedes no entiende nada de lo que digo. Cero útil. Cero.,Mercedes-Benz Ankara Çankaya,2026-04-21,es,interior
C00160,EQS 450,2023,71786,glove box,Glove box latch broke. Sounds minor — until your insurance papers are flying around the cabin every time you brake.,Stern Auto Hamburg,2026-04-24,en,interior
C00161,GLA 200,2025,13994,auto-dimming mirror,"Klimatyzacja dmucha zimnym z jednej strony, gorącym z drugiej. To jest jakiś żart??",Sytner Manchester,2026-01-27,pl,interior
C00162,GLE 350d,2025,12735,ambient lighting,Ambient lighting flickers like a cheap nightclub. At night. While driving. Disorienting and honestly dangerous.,Mercedes-Benz Paris Étoile,2025-07-11,en,interior
C00163,E 450,2025,19550,dome light,Honestly?? Bought my E 450 last year and the MBUX screen is already glitching. Disappointed doesn't even cover it.,Pappas Wien,2025-10-11,en,interior
C00164,CLA 200,2024,22088,9G transmission,"Yav arkadaşlar bu ne ya, MBUX ekranı sürekli donuyor. 2 milyonluk araba bu!",Mercedes-Benz Poznań,2026-01-15,tr,powertrain
C00165,GLC 300,2023,40908,coolant system,No serio?? Kupiłem nowego Mercedesa i bluetooth się rozłącza co minutę. Słabo to wygląda.,Mercedes-Benz Berlin Tempelhof,2025-10-26,pl,powertrain
C00166,EQB 300,2023,25981,MBUX touchscreen,Ehrlich gesagt nur noch genervt. Der Turbolader pfeift wie verrückt seit 30.000 km. Hilfe?,Mercedes-Benz Madrid Norte,2025-08-29,de,display_infotainment
C00167,EQS 580,2020,87404,Hey Mercedes assistant,Lo schermo MBUX si blocca durante la navigazione e devo fermarmi a riavviare. Vergogna.,Étoile Lyon,2025-09-04,it,display_infotainment
C00168,A 180,2022,35579,seat ventilation,Ehrlich gesagt nur noch genervt. Der Turbolader pfeift wie verrückt seit 30.000 km. Hilfe?,Daimler München Mitte,2025-11-11,de,interior
C00169,EQS 580,2023,67930,Apple CarPlay,"Apple CarPlay verbreekt elke 5 minuten. Dit is geen luxewagen, dit is hoofdpijn.",Mercedes-Benz Poznań,2024-12-26,nl,display_infotainment
C00170,E 200,2026,323,Burmester audio,Ich weine fast wenn ich an die Reichweite denke. Im Winter -32%. Hätte einen Tesla nehmen sollen ehrlich.,Lookers Mercedes Birmingham,2025-02-16,de,display_infotainment
C00171,GLS 450,2019,183045,9G transmission,Genuinely scared to drive on the autobahn now. The 9G transmission shifts so hard sometimes it feels like I got rear-ended.,Mercedes-Benz Madrid Norte,2025-08-21,en,powertrain
C00172,GLE 450,2024,32271,Apple CarPlay,"Apple CarPlay her 5 dakikada bağlantıyı kesiyor, çıldıracağım resmen!",Mercedes-Benz Madrid Norte,2025-12-30,tr,display_infotainment
C00173,E 220d,2024,26046,sunroof,"Klimaanlage bläst kalt links, warm rechts. Drei Werkstattbesuche, kein Erfolg. Ich resigniere.",Mercedes-Benz Copenhagen,2024-12-20,de,interior
C00174,EQA 250,2023,59857,coolant system,Thought I was crazy but 3 friends with the same model said the same thing. MBUX freezes during navigation. You guys know about this right??,Itra Barcelona,2025-03-31,en,powertrain
C00175,GLA 200,2025,9789,Burmester audio,Honestly?? Bought my GLA 200 last year and the MBUX screen is already glitching. Disappointed doesn't even cover it.,Autotorino Verona,2026-02-17,en,display_infotainment
C00176,E 220d,2023,70231,seat ventilation,"Allora ragazzi, la mia E 220d gira solo aria fredda dal lato passeggero. Pagato 70k per questo??",Merbag Zürich,2025-02-14,it,interior
C00177,EQA 250,2023,74181,wireless charger,The wireless charger overheats my phone to the point I can't touch it. Genuinely worried it'll start a fire.,Mercedes Roma EUR,2024-11-11,en,display_infotainment
C00178,V 300d,2025,17051,Apple CarPlay,Helt ærligt jeg er træt af det her. MBUX skærmen fryser hver gang jeg bruger Apple CarPlay. Hvad sker der?,Sytner Manchester,2025-10-15,da,display_infotainment
C00179,C 220d,2024,28975,climate control,Ehrlich gesagt nur noch genervt. Der Turbolader pfeift wie verrückt seit 30.000 km. Hilfe?,Mercedes-Benz Stuttgart,2025-06-19,de,interior
C00180,AMG GT 53,2025,8636,power window switch,Akumulator 12V padł trzeci raz. Trzeci. W aucie z 2024 roku. Niesamowite.,Auto-Heinrich Frankfurt,2025-07-17,pl,interior
C00181,GLS 450,2022,64117,Burmester audio,Burmester audio system has static on the right rear speaker. €4000 option btw. Cool cool cool.,Auto Wimar Warsaw,2025-05-12,en,display_infotainment
C00182,GLE 450,2019,109068,12V battery,Mirror auto-dim doesn't work. Headlights from the car behind blind me every night. I dread night driving now.,Auto Wimar Warsaw,2025-08-21,en,powertrain
C00183,A 35 AMG,2026,1990,Apple CarPlay,"Apple CarPlay si scollega ogni 2 minuti, sto impazzendo davvero.",Mercedes Roma EUR,2024-12-05,it,display_infotainment
C00184,E 220d,2023,18390,sunroof,"Klimaanlage bläst kalt links, warm rechts. Drei Werkstattbesuche, kein Erfolg. Ich resigniere.",Mercedes-Benz Brussels,2025-03-07,de,interior
C00185,G 63 AMG,2024,21142,backup camera,Ich liebe meinen Benz aber das ist langsam echt eine Frechheit. Sitzheizung geht alle 2 Wochen kaputt.,Mercedes-Benz Paris Étoile,2024-12-19,de,display_infotainment
C00186,GLA 200,2020,128025,engine,Thought I was crazy but 3 friends with the same model said the same thing. MBUX freezes during navigation. You guys know about this right??,Mercedes-Benz of Mayfair London,2026-05-08,en,powertrain
C00187,A 200,2026,1354,driver seat heater,"I'm SO over this. Driver seat heater stopped working AGAIN, third time in 6 months. What am I even paying for??",Mercedes-Benz of Mayfair London,2025-02-05,en,interior
C00188,EQC 400,2025,15487,DPF filter,Ehrlich gesagt nur noch genervt. Der Turbolader pfeift wie verrückt seit 30.000 km. Hilfe?,Mercedes-Benz Poznań,2025-06-13,de,powertrain
C00189,GLE 350d,2025,27827,cup holder,"Cup holder cracked. Yeah, the cup holder. €60k car and the cup holder cracked. Living the dream.",Koluman Istanbul Ataşehir,2026-03-16,en,interior
C00190,A 35 AMG,2026,2322,dome light,Geri vites kamerası karanlıkta hiçbir şey göstermiyor. Tehlikeli bence.,Mercedes-Benz of Mayfair London,2026-04-22,tr,interior
C00191,G 400d,2026,3154,electric motor,Lenkradheizung wärmt nur unten. Meine Daumen frieren weiterhin tapfer mit.,Daimler München Mitte,2024-11-22,de,powertrain
C00192,EQA 250,2025,12898,Hey Mercedes assistant,"Yağ kokusu motordan geliyor, üç kez serviste hala çözüm yok. Pes.",Stern Auto Hamburg,2026-02-28,tr,display_infotainment
C00193,C 43 AMG,2026,973,power window switch,"Yav arkadaşlar bu ne ya, MBUX ekranı sürekli donuyor. 2 milyonluk araba bu!",Sytner Manchester,2025-06-01,tr,interior
C00194,E 53 AMG,2026,2210,9G transmission,"Der Bildschirm friert mitten in der Navi ein und ich soll mal eben anhalten?? Mercedes bitte, das ist 2026.",Mercedes-Benz Berlin Tempelhof,2026-03-02,de,powertrain
C00195,E 350,2026,2922,armrest,Lenkradheizung wärmt nur unten. Meine Daumen frieren weiterhin tapfer mit.,Auto Wimar Warsaw,2025-09-05,de,interior
C00196,GLB 220,2022,83249,engine,Mirror auto-dim doesn't work. Headlights from the car behind blind me every night. I dread night driving now.,Autotorino Verona,2025-01-31,en,powertrain
C00197,GLS 450,2026,2396,cup holder,Hey Mercedes forstår ikke et ord. Hvorfor sælger I det her som en feature?,Mercedes-Benz Ankara Çankaya,2026-03-17,da,interior
C00198,GLC 300,2025,15598,steering wheel heater,Ich liebe meinen Benz aber das ist langsam echt eine Frechheit. Sitzheizung geht alle 2 Wochen kaputt.,Pappas Wien,2025-05-19,de,interior
C00199,E 350,2023,102395,head-up display,Komme gerade aus der Werkstatt. ZUM DRITTEN MAL wegen AdBlue. Das geht mir mittlerweile richtig auf den Geist.,Lookers Mercedes Birmingham,2025-09-13,de,display_infotainment
C00200,G 63 AMG,2024,21702,Apple CarPlay,"Apple CarPlay verbreekt elke 5 minuten. Dit is geen luxewagen, dit is hoofdpijn.",Mercedes-Benz Madrid Norte,2025-08-25,nl,display_infotainment
